Tiempo [s],Tension [V],Corriente [mA],Potencia [mW],Rele 1=activo 0=apagado
0,1.576,0.000,0.00000,0
10,1.276,425.487,542.48345,0
20,1.259,419.812,528.10888,0
30,1.247,416.112,519.35913,0
40,1.236,413.187,510.60940,0
50,1.229,410.912,504.98458,0
60,1.227,409.312,502.48468,0
70,1.221,407.513,497.48480,0
80,1.217,405.963,494.35992,0
90,1.212,404.463,490.61001,0
100,1.209,403.113,487.48510,0
110,1.204,401.788,483.11026,0
120,1.200,400.563,479.98535,0
130,1.197,399.388,478.11041,0
140,1.194,398.263,474.98550,0
150,1.190,397.263,473.11056,0
160,1.187,396.213,469.98565,0
170,1.184,395.213,468.11071,1
180,1.442,0.000,0.00000,1
190,1.454,0.000,0.00000,1
200,1.460,0.000,0.00000,1
210,1.465,0.000,0.00000,1
220,1.470,0.000,0.00000,1
230,1.474,0.000,0.00000,0
240,1.206,402.263,485.61016,0
250,1.196,398.913,477.48541,0
260,1.189,396.638,471.23562,0
270,1.184,394.888,466.86074,0
280,1.179,393.438,463.73583,0
290,1.175,392.113,460.61093,0
300,1.172,390.988,458.11102,0
310,1.169,389.888,455.61108,0
320,1.166,388.913,453.11117,0
330,1.162,388.013,450.61123,0
340,1.160,387.138,449.36129,0
350,1.157,386.288,447.48632,0
360,1.155,385.488,445.61138,0
370,1.154,384.663,443.11148,0
380,1.147,383.913,440.61154,0
390,1.146,383.163,439.36160,0
400,1.144,382.513,437.48663,0
410,1.141,381.963,436.23669,1
420,1.401,0.000,0.00000,1
430,1.411,0.000,0.00000,1
440,1.419,0.000,0.00000,1
450,1.424,0.000,0.00000,1
460,1.427,0.000,0.00000,1
470,1.430,0.000,0.00000,0
480,1.166,389.413,453.73614,0
490,1.157,386.413,446.86135,0
500,1.150,384.438,442.48651,0
510,1.146,382.963,439.36160,0
520,1.142,381.738,436.23669,0
530,1.140,380.838,434.36175,0
540,1.137,379.913,431.86181,0
550,1.135,379.088,429.98687,0
560,1.132,378.313,428.11193,0
570,1.130,377.588,426.86196,0
580,1.129,376.938,424.98703,0
590,1.126,376.264,423.73706,0
600,1.125,375.639,422.48712,0
610,1.122,375.039,420.61215,0
620,1.120,374.439,419.98718,0
630,1.119,373.864,417.48724,0
640,1.117,373.314,416.86227,0
650,1.116,372.764,415.61230,1
660,1.377,0.000,0.00000,1
670,1.387,0.000,0.00000,1
680,1.395,0.000,0.00000,1
690,1.400,0.000,0.00000,1
700,1.404,0.000,0.00000,1
710,1.406,0.000,0.00000,0
720,1.139,380.413,433.11178,0
730,1.130,377.413,426.23699,0
740,1.124,375.489,421.86212,0
750,1.120,374.064,418.73721,0
760,1.116,372.914,415.61230,0
770,1.114,371.939,413.73736,0
780,1.111,371.039,412.48742,0
790,1.109,370.239,410.61245,0
800,1.106,369.539,408.73751,0
810,1.104,368.839,407.48754,0
820,1.102,368.214,405.61260,0
830,1.100,367.589,404.36267,0
Fin de medicion
